"","Store #","Address 1","City","fixedState","zip","fullAddress","StateInOrigFile"
"1",13,"1315 N MAIN ST","BEAVER DAM","KY",42320,"1315 N Main St, Beaver Dam, KY 42320","KY"
"2",16,"1348 W MARKET ST","BOLIVAR","TN",38008,"1348 W Market St, Bolivar, TN 38008","TN"
"3",18,"694 S BELLS ST","ALAMO","TN",38001,"694 S Bells St, Alamo, TN 38001","TN"
"4",22,"1336 GOSHEN AVE","FORT WAYNE","IN",46808,"1336 Goshen Ave, Fort Wayne, IN 46808","IN"
"5",31,"1540 INTERNATIONAL BLVD","NORFOLK","VA",23513,"1540 International Blvd, Norfolk, VA 23513","VA"
"6",44,"203 1ST AVE SW","CULLMAN","AL",35055,"203 1st Ave SW, Cullman, AL 35055","AL"
"7",52,"3632 S. US HWY 431","BEECHMONT","KY",42323,"3632 US-431, Beechmont, KY 42323","KY"
"8",55,"35 ARNOLD LN","BLOOMFIELD","KY",40008,"35 Arnold Ln, Bloomfield, KY 40008","KY"
"9",77,"102 BLACK GOLD BLVD","HAZARD","KY",41701,"102 Black Gold Blvd, Hazard, KY 41701","KY"
"10",81,"975 BLOOMFIELD RD","BARDSTOWN","KY",40004,"975 Bloomfield Rd, Bardstown, KY 40004","KY"
"11",91,"3595 MAIN ST","JASPER","TN",37347,"3595 Main St, Jasper, TN 37347","TN"
"12",99,"203 OCONEE SQUARE DR","SENECA","SC",29678,"203 Oconee Square Dr, Seneca, SC 29678","SC"
"13",107,"320 S MAIN ST","LEITCHFIELD","KY",42754,"320 S Main St, Leitchfield, KY 42754","KY"
"14",110,"680 N WALLACE WILKINSON B","LIBERTY","KY",42539,"680 N Wallace Wilkinson Blvd, Liberty, KY 42539","KY"
"15",111,"1805 E 7TH ST","ATLANTIC","IA",50022,"1805 E 7th St, Atlantic, IA 50022","IA"
"16",121,"919 BEERSHEBA ST","MCMINNVILLE","TN",37110,"919 Beersheba Hwy, McMinnville, TN 37110","TN"
"17",131,"1011 S BALDWIN AVE","MARION","IN",46953,"1011 S Baldwin Ave, Marion, IN 46953","IN"
"18",143,"220 US HIGHWAY 60 W","REPUBLIC","MO",65738,"220 U.S. Hwy 60 W, Republic, MO 65738","MO"
"19",155,"906 BROAD ST","NEW CASTLE","IN",47362,"906 Broad St, New Castle, IN 47362","IN"
"20",157,"2400 10TH ST","GREAT BEND","KS",67530,"2400 10th St, Great Bend, KS 67530","KS"
"21",159,"124 E COLUMBIA ST","OKEMAH","OK",74859,"124 E Columbia St, Okemah, OK 74859","OK"
"22",163,"1005 S MECHANIC ST","PENDLETON","SC",29670,"1005 S Mechanic St, Pendleton, SC 29670","SC"
"23",164,"302 7TH AVE","SOUTH CHARLESTON","WV",25303,"302 7th Ave, South Charleston, WV 25303","WV"
"24",169,"753 CARROLL ST","NEW LEXINGTON","OH",43764,"753 Carroll St, New Lexington, OH 43764","OH"
"25",176,"613 LOCUST ST","MARSHALL","IL",62441,"613 Locust St, Marshall, IL 62441","IL"
"26",183,"1275 S VANCE ST","CAREY","OH",43316,"1275 S Vance St, Carey, OH 43316","OH"
"27",196,"617 S BEARD AVE","SHAWNEE","OK",74801,"617 S Beard Ave, Shawnee, OK 74801","OK"
"28",201,"513 S CONGRESS BLVD","SMITHVILLE","TN",37166,"513 S Congress Blvd, Smithville, TN 37166","TN"
